,name,main_speaker,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring,Total
0,Ken Robinson: Do schools kill creativity?,Ken Robinson,19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924,93850
1,Al Gore: Averting the climate crisis,Al Gore,544,139,62,58,258,113,443,413,132,56,268,116,131,203,2936
2,David Pogue: Simplicity sells,David Pogue,964,45,183,60,104,78,395,230,166,27,146,230,54,142,2824
3,Majora Carter: Greening the ghetto,Majora Carter,760,291,32,59,105,36,53,380,1070,132,460,230,35,85,3728
4,Hans Rosling: The best stats you've ever seen,Hans Rosling,3202,1390,942,318,110,72,67,5433,2893,4606,3736,2542,248,61,25620
5,Tony Robbins: Why we do what we do,Tony Robbins,1102,721,377,301,706,397,285,1038,5211,1350,2423,441,669,335,15356
6,Julia Sweeney: Letting go of God,Julia Sweeney,477,2484,320,225,277,72,226,438,316,193,311,308,290,61,5998
7,Joshua Prince-Ramus: Behind the design of Seattle's library,Joshua Prince-Ramus,195,98,26,34,26,175,121,153,25,37,63,57,9,5,1024
8,Dan Dennett: Let's teach religion -- all religion -- in schools,Dan Dennett,562,70,283,60,177,211,145,623,441,313,764,60,154,83,3946
9,Rick Warren: A life of purpose,Rick Warren,838,767,476,116,306,111,304,2556,459,26,1543,371,245,209,8327
10,Cameron Sinclair: My wish: A call for open-source architecture,Cameron Sinclair,169,258,18,187,608,148,51,34,21,14,160,66,7,39,1780
11,Jehane Noujaim: My wish: A global day of film,Jehane Noujaim,70,96,16,20,5,201,33,14,41,7,42,20,26,1,592
12,Larry Brilliant: My wish: Help me stop pandemics,Larry Brilliant,188,86,9,16,240,83,57,70,111,11,5,5,2,3,886
13,Jeff Han: The radical promise of the multi-touch interface,Jeff Han,1014,277,34,55,104,19,32,461,471,919,4643,77,23,188,8317
14,Nicholas Negroponte: One Laptop per Child,Nicholas Negroponte,83,89,20,32,104,216,67,14,31,6,30,49,29,11,781
15,Sirena Huang: An 11-year-old's magical violin,Sirena Huang,1671,190,190,29,143,879,635,22,10,2280,95,41,39,15,6239
16,"Jennifer Lin: Improvising on piano, aged 14",Jennifer Lin,1107,85,197,22,35,552,454,53,1997,68,32,22,24,31,4679
17,Amy Smith: Simple designs to save a life,Amy Smith,321,150,67,279,515,159,13,21,19,140,30,63,4,7,1788
18,"Ross Lovegrove: Organic design, inspired by nature",Ross Lovegrove,259,49,185,80,79,119,113,71,363,220,93,210,68,22,1931
19,Jimmy Wales: The birth of Wikipedia,Jimmy Wales,104,13,46,170,63,478,277,181,19,73,68,11,54,14,1571
20,Richard Baraniuk: The birth of the open-source learning revolution,Richard Baraniuk,117,52,22,12,30,320,258,111,8,26,26,120,69,6,1177
21,Ze Frank: Nerdcore comedy,Ze Frank,2799,387,75,74,137,203,266,196,61,177,80,239,450,20,5164
22,Mena Trott: Meet the founder of the blog revolution,Mena Trott,82,106,86,33,54,119,67,40,34,9,87,23,41,3,784
23,"Helen Fisher: Why we love, why we cheat",Helen Fisher,780,177,864,345,249,2591,1083,2106,245,115,1513,394,207,111,10780
24,Eve Ensler: Happiness in body and soul,Eve Ensler,654,154,109,31,27,44,342,13,789,144,97,97,26,43,2570
25,David Deutsch: Chemical scum that dream of distant quasars,David Deutsch,269,92,131,42,91,446,397,515,45,49,1234,73,139,21,3544
26,Richard Dawkins: Why the universe seems so strange,Richard Dawkins,333,112,127,417,42,91,653,674,1281,324,41,367,93,39,4594
27,Steven Levitt: The freakonomics of crack dealing,Steven Levitt,485,43,19,35,175,12,532,93,404,44,61,109,7,17,2036
28,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",Malcolm Gladwell,1668,1127,333,190,80,87,115,2004,1276,2082,1014,290,361,51,10678
29,Dan Gilbert: The surprising science of happiness,Dan Gilbert,1728,1166,241,444,174,169,248,3899,3554,4303,2355,1047,439,67,19834
30,Barry Schwartz: The paradox of choice,Barry Schwartz,1526,178,1201,400,277,2532,2427,2491,324,54,2478,521,421,115,14945
31,Eva Vertes: Meet the future of cancer research,Eva Vertes,68,171,279,277,38,84,377,356,30,58,93,152,75,13,2071
32,Aubrey de Grey: A roadmap to end aging,Aubrey de Grey,309,215,350,215,206,297,65,536,518,812,1359,145,337,120,5484
33,Iqbal Quadir: How mobile phones can fight poverty,Iqbal Quadir,112,11,16,164,153,61,55,8,66,32,6,18,3,1,706
34,Jacqueline Novogratz: Invest in Africa's own solutions,Jacqueline Novogratz,60,53,16,30,138,260,62,4,92,6,21,5,5,3,755
